move,text_entry
substitute,"Transfers 1/4 the user's max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.  The doll takes damage as normal, using the user's stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's HP still do so; the doll's HP does not influence any move.  The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.  Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.  It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.  The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.  life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.  The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.  The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon's stats and types for damage calculation.  All other effects work as normal."
perish-song,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon's counter reaches zero, that Pokémon faints.  A Pokémon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pokémon's counters remain.  This effect is passed on by baton pass.  This move cannot be copied by mirror move."
leech-seed,Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.  The user takes damage instead of being healed if the target has liquid ooze.  rapid spin will remove this effect.  This effect is passed on by baton pass.
heat-crash,"Inflicts regular damage.  The greater the user's weight compared to the target's, the higher power this move has, to a maximum of 120.  User's weight                    | Power -------------------------------- | ----: Up to 2× the target's weight     |    40 Up to 3× the target's weight     |    60 Up to 4× the target's weight     |    80 Up to 5× the target's weight     |   100 More than 5× the target's weight |   120 "
ally-switch,"User switches position on the field with the friendly Pokémon opposite it.  If the user is in the middle position in a triple battle, or there are no other friendly Pokémon, this move will fail."
scale-shot,"Inflicts regular damage two to five times in a row, raising the user's Speed and lowering the user's Defense by one stage each upon last hit."
mimic,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.  If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.  This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore."
speed-swap,Exchanges the original Speed stats of the user and target.
force-palm,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
ice-hammer,"Inflicts regular damage, then lowers the user's Speed by one stage."
nature-power,Uses another move chosen according to the terrain.  Terrain                   | Selected move ------------------------- | ------------------ Building                  | tri attack Cave                      | rock slide Deep water                | hydro pump Desert                    | earthquake Grass                     | seed bomb Mountain                  | rock slide Road                      | earthquake Shallow water             | hydro pump Snow                      | blizzard Tall grass                | seed bomb electric terrain | thunderbolt grassy terrain   | energy ball misty terrain    | moonblast  In Pokémon Battle Revolution:  Terrain        | Selected move -------------- | ------------------ Courtyard      | tri attack Crystal        | rock slide Gateway        | hydro pump Magma          | rock slide Main Street    | tri attack Neon           | tri attack Stargazer      | rock slide Sunny Park     | seed bomb Sunset         | earthquake Waterfall      | seed bomb  This move cannot be copied by mirror move.
belch,"Inflicts regular damage.  Can only be used if the user has eaten a berry since the beginning of the battle.  After the user eats a berry, it may use this move any number of times until the end of the battle, even if it switches out.  Eating a held berry, eating a berry via bug bite or pluck, or being the target of a Flung berry will enable this move.  Feeding a Pokémon a berry from the bag or using natural gift will not.  If the trainer chooses this move when it cannot be used, the choice is rejected outright and the trainer must choose another move."
healing-wish,"User faints.  Its replacement's HP is fully restored, and any major status effect is removed.  If the replacement Pokémon is immediately fainted by a switch-in effect, the next replacement is healed by this move instead."
octolock,The user locks the target in and prevents it from fleeing. This move also lowers the target’s Defense and Sp. Def every turn.
psystrike,"Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
clear-smog,Inflicts regular damage.  All of the target's stat modifiers are reset to zero.
giga-impact,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
outrage,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move."
poison-fang,Inflicts regular damage.  Has a $effect_chance% chance to badly poison the target.
kings-shield,Blocks damaging attacks and lowers attacking Pokémon's Attack by two stages on contact.  Switches Aegislash to Shield Forme.
bug-buzz,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
spider-web,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.  The target may still escape by using baton pass, u turn, or a shed shell.  Both the user and the target pass on this effect with baton pass."
punishment,"Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target's stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move's power."
heal-block,"For the next five turns, the target may not use any moves that only restore HP, and move effects that heal the target are disabled.  Moves that steal HP may still be used, but will only inflict damage and not heal the target."
frost-breath,Inflicts regular damage.  Always scores a critical hit.
flying-press,"Inflicts regular damage.  For the purposes of type effectiveness, this move is both fighting- and flying-type: its final effectiveness is determined by multiplying the effectiveness of each type against each of the target's types.  For all other purposes, this move is pure Fighting-type.  If this move's type is changed, its Fighting typing is overwritten, and its secondary type remains Flying.  If the target has used minimize since entering battle, this move has double power and will never miss."
camouflage,User's type changes according to the terrain.  Terrain        | New type -------------- | -------------- Building       | normal Cave           | rock Desert         | ground Grass          | grass Mountain       | rock Ocean          | water Pond           | water Road           | ground Snow           | ice Tall grass     | grass  In Pokémon Battle Revolution:  Terrain        | New type -------------- | -------------- Courtyard      | normal Crystal        | rock Gateway        | water Magma          | rock Main Street    | normal Neon           | normal Stargazer      | rock Sunny Park     | grass Sunset         | ground Waterfall      | grass 
tail-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
u-turn,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pokémon from the party.  If the target faints from this attack, the user's trainer selects the new Pokémon to send out first.  If the user is the last Pokémon in its party that can battle, it will not switch out.  The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.  This move may be used even if the user is under the effect of ingrain.  ingrain's effect will end."
double-kick,Inflicts regular damage.  Hits twice in one turn.
dragon-darts,"The user attacks twice using Dreepy. If there are two targets, this move hits each target once."
prismatic-laser,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
precipice-blades,Inflicts regular damage.
weather-ball,"Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move."
obstruct,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession. Direct contact harshly lowers the attacker’s Defense stat.
roost,"Heals the user for half its max HP.  If the user is flying, its flying type is ignored until the end of this turn."
water-pledge,"Inflicts regular damage.  If a friendly Pokémon used grass pledge earlier this turn, all opposing Pokémon have halved Speed for four turns (including this one)."
lock-on,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.  One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.  If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.  This effect is passed on by baton pass."
burn-up,"Inflicts regular damage.  Removes the user's fire type after damage calculation.  If the user is not fire-type, this move will fail."
sludge-wave,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.
flamethrower,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
defense-curl,"Raises user's Defense by one stage.  After this move is used, the power of ice ball and rollout are doubled until the user leaves the field."
endure,"The user's HP cannot be lowered below 1 by any means for the remainder of this turn.  If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.  This move cannot be selected by assist or metronome."
rock-smash,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Defense by one stage.
silver-wind,Inflicts regular damage. Has a $effect_chance% chance to raise all of the user's stats one stage.
steamroller,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.  Power is doubled against Pokémon that have used minimize since entering the field.
high-horsepower,Inflicts regular damage.
poison-sting,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.
fire-blast,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
stomp,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.  Power is doubled against Pokémon that have used minimize since entering the field.
magnet-bomb,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
crush-grip,"Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
role-play,"User's ability is replaced with the target's until the user leaves the field.  Ignores accuracy and evasion modifiers.  If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.  This move cannot be copied by mirror move."
hyper-voice,Inflicts regular damage.
gravity,"For five turns (including this one), all immunities to ground moves are disabled.  For the duration of this effect, the evasion of every Pokémon on the field is lowered by two stages.  Cancels the effects of bounce, fly, and sky drop.  Specifically, flying Pokémon and those with levitate or that have used magnet rise are no longer immune to ground attacks, arena trap, spikes, or toxic spikes.  bounce, fly, sky drop, high jump kick, jump kick, and splash cannot be used while this move is in effect.  *Bug*: If this move is used during a double or triple battle while Pokémon are under the effect of sky drop, Sky Drop's effect is not correctly canceled on its target, and it remains high in the air indefinitely.  As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
stone-edge,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
assurance,"Inflicts regular damage.  If the target takes damage this turn for any reason before this move is used, this move has double power."
mud-slap,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.
toxic-spikes,"Scatters poisoned spikes around the opposing field, which poison opposing Pokémon that enter the field.  A second layer of these spikes may be laid down, in which case Pokémon will be badly poisoned instead.  Pokémon immune to either ground moves or being poisoned are immune to this effect.  Pokémon otherwise immune to ground moves are affected during gravity.  If a poison Pokémon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed.  rapid spin will remove this effect from its user's side of the field.  defog will remove this effect from its target's side of the field.  This move does not trigger synchronize, unless the Pokémon with synchronize was forced to enter the field by another effect such as roar.  Pokémon entering the field due to baton pass are not affected by this effect."
double-team,Raises the user's evasion by one stage.
icicle-spear,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
mean-look,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.  The target may still escape by using baton pass, u turn, or a shed shell.  Both the user and the target pass on this effect with baton pass."
flame-wheel,"Inflicts regular damage.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw."
feint-attack,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
searing-shot,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
bolt-strike,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
teeter-dance,Confuses all targets.
swords-dance,Raises the user's Attack by two stages.
dragon-tail,"Inflicts regular damage, then switches the target out for another of its trainer's Pokémon, selected at random.  If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pokémon, it will not be switched out.  If the target is a wild Pokémon, the battle ends instead."
fake-out,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.
storm-throw,Inflicts regular damage.  Always scores a critical hit.
leaf-tornado,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.
poison-powder,Poisons the target.
strength,Inflicts regular damage.
doom-desire,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.  This effect breaks through wonder guard.  If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.  The damage is applied at the end of the turn, so it ignores endure and focus sash.  This move cannot be copied by mirror move."
scary-face,Lowers the target's Speed by two stages.
calm-mind,Raises the user's Special Attack and Special Defense by one stage each.
shadow-force,"Inflicts regular damage.  User vanishes for one turn, becoming immune to attack, and hits on the second turn.  This move ignores the effects of detect and protect.  This move cannot be selected by sleep talk."
cotton-spore,Lowers the target's Speed by two stages.
iron-head,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
triple-axel,Inflicts regular damage.
heal-bell,Removes major status effects and confusion from every Pokémon in the user's party.
forests-curse,Adds grass to the target's types.
flame-charge,Inflicts regular damage.  Raises the user's Speed by one stage.
sky-attack,Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a $effect_chance% chance to make the target flinch.  This move cannot be selected by sleep talk.
apple-acid,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.
spiky-shield,Blocks damaging attacks and damages attacking Pokémon for 1/8 their max HP.
aqua-tail,Inflicts regular damage.
quick-guard,"Moves with priority greater than 0 will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.  This move cannot be selected by assist or metronome."
heat-wave,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
iron-defense,Raises the user's Defense by two stages.
clanging-scales,Inflicts regular damage.  Lowers the user's Defense by one stage.
magma-storm,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect."
dark-pulse,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
poison-gas,Poisons the target.
twineedle,Inflicts regular damage.  Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.
meteor-assault,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
lick,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
superpower,"Inflicts regular damage, then lowers the user's Attack and Defense by one stage each."
dragon-dance,Raises the user's Attack and Speed by one stage each.
darkest-lariat,"Inflicts regular damage.  Damage calculation ignores the target's stat modifiers, including evasion."
rapid-spin,"Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate."
wrap,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect."
vice-grip,Inflicts regular damage.
fishious-rend,"The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled."
mega-punch,Inflicts regular damage.
spotlight,"For the duration of the turn, if the target is also a valid target for a move used by one of its opponents, that move will target it instead."
after-you,"The target will act next this turn, regardless of Speed or move priority. If the target has already acted this turn, this move will fail."
withdraw,Raises the user's Defense by one stage.
diamond-storm,Inflicts regular damage.  Has a $effect_chance% chance to raise the user's Defense by two stages for each target hit.
seismic-toss,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
mist-ball,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Attack by one stage.
belly-drum,"User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail."
smack-down,"Inflicts regular damage.  Removes the target's immunity to ground-type damage.  This effect removes any existing Ground immunity due to levitate, magnet rise, or telekinesis, and causes the target's flying type to be ignored when it takes Ground damage.  If the target isn't immune to Ground damage, this move will fail.  This move can hit Pokémon under the effect of bounce, fly, or sky drop, and ends the effect of Bounce or Fly."
court-change,"With its mysterious power, the user swaps the effects on either side of the field."
reflect,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.  If the user is holding light clay, the barrier lasts for eight turns.  brick break or defog used by an opponent will destroy the barrier."
confuse-ray,Confuses the target.
sketch,"Permanently replaces itself with the target's last used move.  If that move is chatter or struggle, this move will fail.  This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore."
fire-pledge,"Inflicts regular damage.  If a friendly Pokémon used water pledge earlier this turn, moves used by any friendly Pokémon have doubled effect chance for four turns (including this one)."
eerie-impulse,Lowers the target's Special Attack by two stages.
night-daze,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.
grav-apple,Inflicts regular damage.  Lowers the target's Defense by one stage.
nightmare,"Only works on sleeping Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends."
mind-reader,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.  One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.  If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.  This effect is passed on by baton pass."
baby-doll-eyes,Lowers the target's Attack by one stage.
sleep-powder,Puts the target to sleep.
ominous-wind,Inflicts regular damage. Has a $effect_chance% chance to raise all of the user's stats one stage.
