pokemon,abilities,types,egg_groups,moves,pokedex_entry
metapod,['shed-skin'],['bug'],['bug'],"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']","This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
butterfree,"['compound-eyes', 'tinted-lens']","['bug', 'flying']",['bug'],"['razor-wind', 'gust', 'whirlwind', 'headbutt', 'tackle', 'take-down', 'double-edge', 'supersonic', 'psybeam', 'hyper-beam', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'string-shot', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'harden', 'reflect', 'bide', 'swift', 'dream-eater', 'flash', 'psywave', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'baton-pass', 'sweet-scent', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'facade', 'skill-swap', 'secret-power', 'air-cutter', 'silver-wind', 'signal-beam', 'aerial-ace', 'iron-defense', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'air-slash', 'bug-buzz', 'energy-ball', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'rage-powder', 'quiver-dance', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'hurricane', 'draining-kiss', 'confide', 'infestation', 'pollen-puff', 'dual-wingbeat']","In battle, it flaps its wings at high speed to release highly toxic dust into the air."
weedle,"['shield-dust', 'run-away']","['bug', 'poison']",['bug'],"['poison-sting', 'string-shot', 'bug-bite', 'electroweb']","Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
kakuna,['shed-skin'],"['bug', 'poison']",['bug'],"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']","Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
beedrill,"['swarm', 'sniper']","['bug', 'poison']",['bug'],"['swords-dance', 'cut', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'twineedle', 'pin-missile', 'hyper-beam', 'peck', 'mega-drain', 'solar-beam', 'string-shot', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'focus-energy', 'bide', 'swift', 'skull-bash', 'flash', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'sludge-bomb', 'outrage', 'giga-drain', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'sweet-scent', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'air-cutter', 'silver-wind', 'aerial-ace', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'payback', 'assurance', 'toxic-spikes', 'poison-jab', 'x-scissor', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'drill-run', 'fell-stinger', 'confide', 'infestation', 'laser-focus', 'throat-chop', 'brutal-swing']",It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
pidgey,"['keen-eye', 'tangled-feet', 'big-pecks']","['normal', 'flying']",['flying'],"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'feint-attack', 'mud-slap', 'foresight', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'brave-bird', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide']",A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
pidgeotto,"['keen-eye', 'tangled-feet', 'big-pecks']","['normal', 'flying']",['flying'],"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide']","Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
pidgeot,"['keen-eye', 'tangled-feet', 'big-pecks']","['normal', 'flying']",['flying'],"['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'hyper-beam', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'giga-impact', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide', 'laser-focus']","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
rattata,"['run-away', 'guts', 'hustle']",['normal'],['ground'],"['cut', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'counter', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'screech', 'double-team', 'defense-curl', 'focus-energy', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'hyper-fang', 'super-fang', 'substitute', 'thief', 'flame-wheel', 'snore', 'curse', 'reversal', 'protect', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'uproar', 'facade', 'taunt', 'revenge', 'endeavor', 'secret-power', 'covet', 'shock-wave', 'natural-gift', 'pluck', 'u-turn', 'assurance', 'me-first', 'last-resort', 'sucker-punch', 'zen-headbutt', 'captivate', 'grass-knot', 'charge-beam', 'round', 'retaliate', 'final-gambit', 'work-up', 'wild-charge', 'confide']",キバが２つ。とにかく　なんでも かじってみる。１ぴき　みつけたら ４０ぴきは　そこに　すんでるはず。
raticate,"['run-away', 'guts', 'hustle']",['normal'],['ground'],"['swords-dance', 'cut', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'roar', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'counter', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'double-team', 'defense-curl', 'focus-energy', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'hyper-fang', 'super-fang', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'uproar', 'facade', 'taunt', 'endeavor', 'secret-power', 'covet', 'shock-wave', 'natural-gift', 'pluck', 'u-turn', 'assurance', 'last-resort', 'sucker-punch', 'giga-impact', 'zen-headbutt', 'captivate', 'grass-knot', 'charge-beam', 'round', 'retaliate', 'work-up', 'wild-charge', 'confide', 'throat-chop', 'stomping-tantrum']",Ses pattes arrière lui permettent de traverser les rivières. Il est toujours en quête de nourriture.
spearow,"['keen-eye', 'sniper']","['normal', 'flying']",['flying'],"['razor-wind', 'whirlwind', 'fly', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'leer', 'growl', 'peck', 'drill-peck', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'tri-attack', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'feint-attack', 'mud-slap', 'detect', 'endure', 'false-swipe', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'astonish', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'assurance', 'defog', 'captivate', 'ominous-wind', 'round', 'echoed-voice', 'work-up', 'drill-run', 'confide']","It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
fearow,"['keen-eye', 'sniper']","['normal', 'flying']",['flying'],"['razor-wind', 'whirlwind', 'fly', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'leer', 'growl', 'hyper-beam', 'peck', 'drill-peck', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'tri-attack', 'substitute', 'thief', 'snore', 'curse', 'protect', 'mud-slap', 'detect', 'endure', 'false-swipe', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'assurance', 'giga-impact', 'defog', 'captivate', 'ominous-wind', 'round', 'echoed-voice', 'work-up', 'drill-run', 'confide', 'laser-focus', 'throat-chop']","With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
ekans,"['intimidate', 'shed-skin', 'unnerve']",['poison'],"['ground', 'dragon']","['bind', 'slam', 'headbutt', 'body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'disable', 'acid', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'haze', 'bide', 'skull-bash', 'glare', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'sludge-bomb', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'beat-up', 'stockpile', 'spit-up', 'swallow', 'torment', 'facade', 'snatch', 'secret-power', 'poison-fang', 'rock-tomb', 'poison-tail', 'natural-gift', 'payback', 'gastro-acid', 'sucker-punch', 'poison-jab', 'dark-pulse', 'aqua-tail', 'seed-bomb', 'switcheroo', 'mud-bomb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'coil', 'acid-spray', 'round', 'bulldoze', 'belch', 'confide', 'infestation', 'brutal-swing']","Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
arbok,"['intimidate', 'shed-skin', 'unnerve']",['poison'],"['ground', 'dragon']","['bind', 'slam', 'headbutt', 'body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'acid', 'hyper-beam', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'haze', 'bide', 'skull-bash', 'glare', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'sludge-bomb', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'stockpile', 'spit-up', 'swallow', 'torment', 'facade', 'snatch', 'secret-power', 'rock-tomb', 'natural-gift', 'payback', 'gastro-acid', 'sucker-punch', 'poison-jab', 'dark-pulse', 'aqua-tail', 'seed-bomb', 'giga-impact', 'thunder-fang', 'ice-fang', 'fire-fang', 'mud-bomb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'coil', 'acid-spray', 'round', 'bulldoze', 'dragon-tail', 'belch', 'confide', 'infestation', 'throat-chop', 'brutal-swing', 'stomping-tantrum']",It is rumored that the ferocious warning markings on its belly differ from area to area.
